Team,Avg,SixYardBox,PenaltyArea,OutOfBox,Rating
France,2.1,0.9,1.1,0.1,6.90
England,2.6,0.2,2.2,0.2,6.89
Netherlands,2,0.2,1.6,0.2,6.73
Brazil,1.4,0.2,1.2,0,6.72
Argentina,2,0.1,1.7,0.1,6.71
Germany,2,0.3,1.7,0,6.70
Spain,2.3,0.5,1.8,0,6.69
Portugal,2.4,0.6,1.6,0.2,6.67
Cameroon,1.3,0.3,1,0,6.67
Croatia,1,0,0.9,0.1,6.63
Tunisia,0.3,0,0.3,0,6.60
Poland,0.8,0,0.8,0,6.59
Uruguay,0.7,0.3,0.3,0,6.59
Belgium,0.3,0,0.3,0,6.58
Morocco,0.9,0.3,0.4,0.1,6.53
USA,0.8,0.5,0.3,0,6.53
Ecuador,1.3,0.7,0.7,0,6.52
Mexico,0.7,0.3,0,0.3,6.52
Japan,1.3,0.5,0.5,0.3,6.51
Denmark,0.3,0,0.3,0,6.50
South Korea,1.3,0.5,0.5,0.3,6.50
Senegal,1.3,0.3,1,0,6.48
Iran,1.3,0,1,0.3,6.47
Ghana,1.7,0.7,1,0,6.45
Australia,1,0.3,0.5,0,6.45
Saudi Arabia,1,0,1,0,6.42
Serbia,1.7,0,1.3,0.3,6.42
Switzerland,1.3,0.5,0.8,0,6.35
Costa Rica,1,0.7,0.3,0,6.26
Wales,0.3,0,0.3,0,6.25
Canada,0.7,0,0.3,0,6.21
Qatar,0.3,0,0.3,0,6.14
